,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
65,no-easy-80pct,hardest-interleaved-25pct,0.909783728115345,0.8195778425670632,4452,4382,422,454,0.9701868907314295,0.9695661690103357
3,curriculum-reordered-shuffled-20pct,no-easy-80pct,0.9094747682801236,0.8189276645495105,4470,4361,443,436,0.9694409138260581,0.9688836365490452
19,curriculum-reordered-shuffled-00pct,no-easy-80pct,0.9091658084449021,0.8183130836853455,4478,4350,454,428,0.9695018003749424,0.9688075275144652
64,no-easy-80pct,easiest-interleaved-10pct,0.9084449021627189,0.8168674337158478,4466,4355,449,440,0.9689779851211096,0.9680409722337262
0,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,0.9083419155509783,0.8166632593219368,4472,4348,456,434,0.9691547894759531,0.9685335332238836
114,hardest-interleaved-25pct,no-hard-95pct,0.9082389289392379,0.8164612334093624,4457,4362,442,449,0.9695153142187191,0.968382184180167
7,curriculum-reordered-shuffled-20pct,hardest-interleaved-25pct,0.9082389289392379,0.8164994382560816,4441,4378,426,465,0.9702878520854852,0.9697389707803896
93,hardest-interleaved-50pct,easiest-interleaved-50pct,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9701533076628289,0.9697610529167358
25,curriculum-reordered-shuffled-00pct,no-easy-90pct,0.9080329557157569,0.8160435373843864,4467,4350,454,439,0.9694772336071347,0.968818035539277
24,curriculum-reordered-shuffled-00pct,no-easy-95pct,0.9080329557157569,0.8160435373843864,4467,4350,454,439,0.9694772336071347,0.968818035539277
38,easiest-interleaved-25pct,hardest-interleaved-25pct,0.9080329557157569,0.8160520860566493,4454,4363,441,452,0.9699979727112853,0.9692160181583743
110,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,0.9080329557157569,0.8160505974373613,4455,4362,442,451,0.9701372692548301,0.9696962376837052
103,easiest-interleaved-10pct,easiest-interleaved-50pct,0.9079299691040165,0.8158385706578672,4469,4347,457,437,0.9689148073710826,0.9681503627408957
18,curriculum-reordered-shuffled-00pct,baseline,0.9079299691040165,0.8158477067669043,4477,4339,465,429,0.9692456525731207,0.9686212241369422
108,hardest-interleaved-25pct,no-easy-95pct,0.9079299691040165,0.815848588087062,4452,4364,440,454,0.9701786805940015,0.9694822052362178
109,hardest-interleaved-25pct,no-easy-90pct,0.9079299691040165,0.815848588087062,4452,4364,440,454,0.9701786805940015,0.9694822052362178
48,baseline,no-easy-80pct,0.9079299691040165,0.8158460798508664,4476,4340,464,430,0.9691873754477601,0.9684976897222526
82,curriculum-reordered-shuffled-30pct,easiest-interleaved-50pct,0.907826982492276,0.8156360480138979,4456,4359,445,450,0.969192954946839,0.9688373093008
12,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,0.907826982492276,0.8156313261146794,4464,4351,453,442,0.9693387007973041,0.9689358598648147
67,no-easy-80pct,no-easy-90pct,0.907826982492276,0.8156354655553455,4472,4343,461,434,0.9693927773872365,0.9686690606613739
66,no-easy-80pct,no-easy-95pct,0.907826982492276,0.8156354655553455,4472,4343,461,434,0.9693927773872365,0.9686690606613739
52,baseline,hardest-interleaved-25pct,0.907826982492276,0.8156687800653681,4441,4374,430,465,0.9699031636565941,0.9692519379250657
112,hardest-interleaved-25pct,easiest-interleaved-50pct,0.907826982492276,0.8156496294578903,4448,4367,437,458,0.9701838570113979,0.9697517468616218
77,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.907826982492276,0.8156790636654088,4438,4377,427,468,0.9701882484802549,0.9697060437371848
69,no-easy-80pct,curriculum-reordered-shuffled-40pct,0.9077239958805355,0.8154393347326713,4478,4336,468,428,0.9691315168124945,0.9685148553084211
49,baseline,curriculum-reordered-shuffled-30pct,0.9077239958805355,0.8154280051434365,4470,4344,460,436,0.9690995885002747,0.9685393764475738
28,curriculum-reordered-shuffled-00pct,easiest-interleaved-50pct,0.9076210092687951,0.8152224437755377,4470,4343,461,436,0.9694206324529803,0.9689749131307946
76,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,0.9076210092687951,0.8152195228857427,4465,4348,456,441,0.9689499603367624,0.9681567403114106
