,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
65,no-easy-80pct,hardest-interleaved-25pct,0.909783728115345,0.8195778425670632,4452,4382,422,454,0.9700921453212146,0.9694930227012073
3,curriculum-reordered-shuffled-20pct,no-easy-80pct,0.9094747682801236,0.8189276645495105,4470,4361,443,436,0.9695363168958603,0.9689832643379027
19,curriculum-reordered-shuffled-00pct,no-easy-80pct,0.9091658084449021,0.8183130836853455,4478,4350,454,428,0.9695317981380511,0.968817616121407
64,no-easy-80pct,easiest-interleaved-10pct,0.9084449021627189,0.8168674337158478,4466,4355,449,440,0.9690364743947241,0.9681487754314133
0,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,0.9083419155509783,0.8166632593219368,4472,4348,456,434,0.9691778287763323,0.9685858350957584
114,hardest-interleaved-25pct,no-hard-95pct,0.9082389289392379,0.8164612334093624,4457,4362,442,449,0.9700517098640112,0.96925082127635
7,curriculum-reordered-shuffled-20pct,hardest-interleaved-25pct,0.9082389289392379,0.8164994382560816,4441,4378,426,465,0.9702662766080583,0.9697124752486895
93,hardest-interleaved-50pct,easiest-interleaved-50pct,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9700734762748666,0.969507236825168
25,curriculum-reordered-shuffled-00pct,no-easy-90pct,0.9080329557157569,0.8160435373843864,4467,4350,454,439,0.9696247402881075,0.9690250110854215
24,curriculum-reordered-shuffled-00pct,no-easy-95pct,0.9080329557157569,0.8160435373843864,4467,4350,454,439,0.9696247402881075,0.9690250110854215
38,easiest-interleaved-25pct,hardest-interleaved-25pct,0.9080329557157569,0.8160520860566493,4454,4363,441,452,0.9699144075140536,0.9691504154601954
110,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,0.9080329557157569,0.8160505974373613,4455,4362,442,451,0.9701379693440682,0.9696675766646962
103,easiest-interleaved-10pct,easiest-interleaved-50pct,0.9079299691040165,0.8158385706578672,4469,4347,457,437,0.9688330242191842,0.9678956329771813
18,curriculum-reordered-shuffled-00pct,baseline,0.9079299691040165,0.8158477067669043,4477,4339,465,429,0.9693584093700962,0.9687498098920175
108,hardest-interleaved-25pct,no-easy-95pct,0.9079299691040165,0.815848588087062,4452,4364,440,454,0.9702111180620309,0.9695657421616182
109,hardest-interleaved-25pct,no-easy-90pct,0.9079299691040165,0.815848588087062,4452,4364,440,454,0.9702111180620309,0.9695657421616182
48,baseline,no-easy-80pct,0.9079299691040165,0.8158460798508664,4476,4340,464,430,0.9692383334583594,0.9685354911297271
82,curriculum-reordered-shuffled-30pct,easiest-interleaved-50pct,0.907826982492276,0.8156360480138979,4456,4359,445,450,0.9692035835743621,0.9688295150826374
12,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,0.907826982492276,0.8156313261146794,4464,4351,453,442,0.969400966309839,0.9689476119889542
67,no-easy-80pct,no-easy-90pct,0.907826982492276,0.8156354655553455,4472,4343,461,434,0.9694538548695493,0.9687549483547193
66,no-easy-80pct,no-easy-95pct,0.907826982492276,0.8156354655553455,4472,4343,461,434,0.9694538548695493,0.9687549483547193
52,baseline,hardest-interleaved-25pct,0.907826982492276,0.8156687800653681,4441,4374,430,465,0.9699219812067197,0.9692489584818313
112,hardest-interleaved-25pct,easiest-interleaved-50pct,0.907826982492276,0.8156496294578903,4448,4367,437,458,0.9701070593434674,0.9695595788030406
77,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.907826982492276,0.8156790636654088,4438,4377,427,468,0.9701540926113684,0.9696567356850609
69,no-easy-80pct,curriculum-reordered-shuffled-40pct,0.9077239958805355,0.8154393347326713,4478,4336,468,428,0.9691143328039244,0.9685165969892234
49,baseline,curriculum-reordered-shuffled-30pct,0.9077239958805355,0.8154280051434365,4470,4344,460,436,0.9691761315903007,0.9686060282615044
28,curriculum-reordered-shuffled-00pct,easiest-interleaved-50pct,0.9076210092687951,0.8152224437755377,4470,4343,461,436,0.9694659685348498,0.9689713788673763
76,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,0.9076210092687951,0.8152195228857427,4465,4348,456,441,0.969071797079007,0.9682992457130559
20,curriculum-reordered-shuffled-00pct,curriculum-reordered-shuffled-30pct,0.9076210092687951,0.8152215827738617,4469,4344,460,437,0.9691765558868086,0.9686155008880867
26,curriculum-reordered-shuffled-00pct,curriculum-reordered-shuffled-10pct,0.9076210092687951,0.8152435746382329,4482,4331,473,424,0.968891640781751,0.9683216711219775
147,hardest-interleaved-10pct,no-hard-95pct,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9696066652568708,0.968960592215081
71,no-easy-80pct,hardest-interleaved-10pct,0.9075180226570546,0.8150236360908403,4475,4337,467,431,0.9696688034804533,0.9692387326091462
62,no-easy-80pct,curriculum-reordered-shuffled-30pct,0.9075180226570546,0.8150145441833639,4467,4345,459,439,0.9693996085610137,0.968866475703271
83,curriculum-reordered-shuffled-30pct,hardest-interleaved-10pct,0.9075180226570546,0.8150236360908403,4475,4337,467,431,0.9697196766317511,0.9693119362428575
2,curriculum-reordered-shuffled-20pct,baseline,0.9075180226570546,0.8150134180501908,4464,4348,456,442,0.969260969677056,0.9686449805960111
92,hardest-interleaved-50pct,curriculum-reordered-shuffled-40pct,0.9075180226570546,0.8150253954149472,4476,4336,468,430,0.9698340245406312,0.9691592659252366
21,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,0.9075180226570546,0.8150140304384076,4466,4346,458,440,0.9703816852582081,0.9697955599613632
23,curriculum-reordered-shuffled-00pct,hardest-interleaved-25pct,0.9075180226570546,0.8150328076463131,4446,4366,438,460,0.9703317879888786,0.969711839547979
143,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9074150360453141,0.8148243761660804,4478,4333,471,428,0.9696322715511229,0.9692161257913189
111,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,0.9074150360453141,0.8148256753725559,4446,4365,439,460,0.9698947838005629,0.9693179107468098
8,curriculum-reordered-shuffled-20pct,no-easy-95pct,0.9073120494335737,0.814601315530702,4462,4348,456,444,0.9695919209532212,0.9690116399133467
9,curriculum-reordered-shuffled-20pct,no-easy-90pct,0.9073120494335737,0.814601315530702,4462,4348,456,444,0.9695919209532212,0.9690116399133467
55,baseline,curriculum-reordered-shuffled-10pct,0.9072090628218331,0.8144018014418465,4471,4338,466,435,0.9691638482063969,0.9686724213670121
102,easiest-interleaved-10pct,curriculum-reordered-shuffled-40pct,0.9072090628218331,0.8143965955420857,4457,4352,452,449,0.9687315749241442,0.9679075013314151
4,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,0.9072090628218331,0.8143965955420857,4457,4352,452,449,0.9688933803974334,0.9683363678869464
6,curriculum-reordered-shuffled-20pct,easiest-interleaved-10pct,0.9072090628218331,0.8143980638222496,4455,4354,450,451,0.9691867390029982,0.9683255400676458
139,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,0.9071060762100926,0.8142097142365492,4478,4330,474,428,0.9696000250165221,0.9691768506114575
56,baseline,curriculum-reordered-shuffled-40pct,0.9071060762100926,0.8141939355037936,4469,4339,465,437,0.9689734239336495,0.9683398381120918
13,curriculum-reordered-shuffled-20pct,hardest-interleaved-10pct,0.9071060762100926,0.8142052397997301,4476,4332,472,430,0.9699092310966573,0.9695443695889585
22,curriculum-reordered-shuffled-00pct,easiest-interleaved-10pct,0.9070030895983522,0.8139846008796774,4456,4351,453,450,0.96923810009528,0.9683985860766494
98,easiest-interleaved-10pct,hardest-interleaved-25pct,0.9070030895983522,0.814014725707077,4439,4368,436,467,0.9699629258197324,0.9690427367552373
5,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,0.9070030895983522,0.81398368161095,4458,4349,455,448,0.9703463413590998,0.969825074378627
43,easiest-interleaved-25pct,easiest-interleaved-50pct,0.9070030895983522,0.8140074048557693,4479,4328,476,427,0.969105889303417,0.9682208386962473
36,easiest-interleaved-25pct,hardest-interleaved-50pct,0.9069001029866117,0.8137785044716089,4464,4342,462,442,0.9700272279555052,0.9691787824852818
101,easiest-interleaved-10pct,curriculum-reordered-shuffled-10pct,0.9069001029866117,0.8137785044716089,4464,4342,462,442,0.9690177204890748,0.968241137663114
70,no-easy-80pct,easiest-interleaved-50pct,0.9069001029866117,0.8137844445269523,4470,4336,468,436,0.9692829694509908,0.9688340902132904
