,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
168,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-25pct,0.9101956745623069,0.8203733608785151,4468,4370,434,438,0.9704614317868687,0.9698515413402886
6,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,hardest-interleaved-25pct,0.9098867147270855,0.8197599345000394,4463,4372,432,443,0.9703269722235139,0.9697726263781762
48,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,0.9098867147270855,0.8197672285746636,4459,4376,428,447,0.9704225025822685,0.9698855353022622
319,easiest-interleaved-25pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,0.909783728115345,0.8195453619284081,4474,4360,444,432,0.9701378420551158,0.9694977525093342
126,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9095777548918641,0.819137125685536,4480,4352,452,426,0.9701187699270856,0.9697809115502902
717,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9094747682801236,0.8189299651126892,4466,4365,439,440,0.9702159762570464,0.9698026080133039
454,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.9094747682801236,0.8189344895933175,4462,4369,435,444,0.9703569912014482,0.969855755834305
453,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,0.9094747682801236,0.8189289905753276,4477,4354,450,429,0.969393668409903,0.9686971322535274
318,easiest-interleaved-25pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,0.9094747682801236,0.818931644396474,4480,4351,453,426,0.9702220012674585,0.9696225158145222
480,no-easy-80pct,easiest-interleaved-10pct,easiest-interleaved-50pct,0.9094747682801236,0.8189289905753276,4477,4354,450,429,0.9694364374978997,0.9688150504188985
95,curriculum-reordered-shuffled-20pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9092687950566426,0.8185225049996094,4461,4368,436,445,0.9704058913739841,0.9699881515645382
