,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
48,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,0.909989701338826,0.8199702223925036,4461,4375,429,445,0.9704588860078212,0.9699390812268316
726,hardest-interleaved-25pct,hardest-interleaved-10pct,no-hard-95pct,0.9095777548918641,0.8191338292787401,4470,4362,442,436,0.9706164909456821,0.9701126705986971
168,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-25pct,0.9094747682801236,0.818931949375314,4464,4367,437,442,0.9704808857817561,0.9698401068003834
486,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,0.9094747682801236,0.818931949375314,4464,4367,437,442,0.9704082674344284,0.9698256974204822
6,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,hardest-interleaved-25pct,0.9094747682801236,0.8189331499912066,4463,4368,436,443,0.9704065490335714,0.9698575758507425
95,curriculum-reordered-shuffled-20pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9094747682801236,0.8189375857469637,4460,4371,433,446,0.9704524579157267,0.9699697264535412
485,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,0.9094747682801236,0.818931949375314,4464,4367,437,442,0.9704082674344284,0.9698256974204822
480,no-easy-80pct,easiest-interleaved-10pct,easiest-interleaved-50pct,0.9094747682801236,0.8189289905753276,4477,4354,450,429,0.9694538760843746,0.9687614458927369
722,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9093717816683831,0.8187278097508378,4462,4368,436,444,0.9703403799931637,0.9699390225622034
708,hardest-interleaved-25pct,no-easy-90pct,no-hard-95pct,0.9093717816683831,0.81872355996311,4466,4364,440,440,0.9704000360821751,0.969741410953328
701,hardest-interleaved-25pct,no-easy-95pct,no-hard-95pct,0.9093717816683831,0.81872355996311,4466,4364,440,440,0.9704000360821751,0.969741410953328
453,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,0.9093717816683831,0.8187233380963498,4477,4353,451,429,0.9695483669166847,0.968862370158405
319,easiest-interleaved-25pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,0.9093717816683831,0.8187213541954571,4472,4358,446,434,0.9700962185676905,0.9694728161910684
717,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9092687950566426,0.818519961705137,4463,4366,438,443,0.9701200640314345,0.9696305301575318
612,hardest-interleaved-50pct,hardest-interleaved-25pct,no-hard-95pct,0.9092687950566426,0.8185165421661689,4467,4362,442,439,0.9707831758288122,0.970100050111819
690,easiest-interleaved-10pct,hardest-interleaved-10pct,no-hard-95pct,0.9091658084449021,0.8183167678483263,4481,4347,457,425,0.9698895861683412,0.9691243306861466
520,no-easy-80pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9091658084449021,0.8183130836853455,4478,4350,454,428,0.9700972156644839,0.9697238936270035
53,curriculum-reordered-shuffled-20pct,no-easy-80pct,easiest-interleaved-50pct,0.9091658084449021,0.8183097223577153,4473,4355,449,433,0.9697912978822852,0.9693424573694485
