,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
2246,no-easy-80pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9106076210092688,0.821193781241165,4480,4362,442,426,0.9703191651677686,0.9699045455506811
184,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9104016477857878,0.8207828135475221,4472,4368,436,434,0.9703712051344631,0.9698209778084025
349,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,0.9102986611740473,0.8205824279681495,4466,4373,431,440,0.970423117812205,0.9698834554503382
350,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,0.9102986611740473,0.8205824279681495,4466,4373,431,440,0.970423117812205,0.9698834554503382
384,curriculum-reordered-shuffled-20pct,no-easy-80pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9101956745623069,0.8203707162676356,4480,4358,446,426,0.9702458043015519,0.9699099049376626
2115,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9101956745623069,0.8203742914190685,4484,4354,450,422,0.9701711069013355,0.9698469107628847
2080,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-95pct,0.9100926879505664,0.8201704433744414,4465,4372,432,441,0.9703747904399548,0.96986394605219
1141,curriculum-reordered-shuffled-00pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9100926879505664,0.8201659381919001,4469,4368,436,437,0.9702978654830718,0.9698710828833564
2081,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-90pct,0.9100926879505664,0.8201704433744414,4465,4372,432,441,0.9703747904399548,0.96986394605219
32,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-25pct,0.9100926879505664,0.8201651599000376,4470,4367,437,436,0.9704078855675712,0.9698503653667306
353,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.909989701338826,0.8199624994969104,4466,4370,434,440,0.9704687296868048,0.970050687727988
2914,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.909989701338826,0.8199575323611805,4473,4363,441,433,0.9704971575528343,0.9701342214057703
1359,easiest-interleaved-25pct,no-easy-80pct,easiest-interleaved-10pct,easiest-interleaved-50pct,0.909989701338826,0.8199784342044625,4492,4344,460,414,0.9696281134453454,0.9689258011711578
2235,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,easiest-interleaved-50pct,0.9098867147270855,0.819755924715668,4466,4369,435,440,0.9704177080317292,0.9699313450018988
913,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9098867147270855,0.8197520243572908,4471,4364,440,435,0.9705066193649605,0.9700497404693953
2228,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,easiest-interleaved-50pct,0.9098867147270855,0.819755924715668,4466,4369,435,440,0.9704177080317292,0.9699313450018988
489,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,no-easy-90pct,easiest-interleaved-50pct,0.9098867147270855,0.8197524080682557,4478,4357,447,428,0.9704337252249027,0.9700118268419254
354,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9098867147270855,0.8197539471654964,4468,4367,437,438,0.9705791104233359,0.9701741399646627
482,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,no-easy-95pct,easiest-interleaved-50pct,0.9098867147270855,0.8197524080682557,4478,4357,447,428,0.9704337252249027,0.9700118268419254
878,curriculum-reordered-shuffled-00pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.9098867147270855,0.8197539471654964,4468,4367,437,438,0.9703799244277004,0.9698538402220578
25,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,baseline,hardest-interleaved-10pct,0.909783728115345,0.8195514804086826,4483,4351,453,423,0.9700785678329616,0.969643467764786
2182,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,0.909783728115345,0.8195483942979995,4467,4367,437,439,0.9701672670179389,0.969547339890845
1960,baseline,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.909783728115345,0.8195455327602943,4472,4362,442,434,0.9701989619670794,0.9697618395010301
2471,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.909783728115345,0.8195517804240359,4464,4370,434,442,0.970546694170132,0.9702078758422247
1333,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.909783728115345,0.8195462600549175,4470,4364,440,436,0.9703166618183718,0.9697335424561103
1784,baseline,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,hardest-interleaved-25pct,0.909783728115345,0.8195517804240359,4464,4370,434,442,0.9701153331253716,0.9694678465238302
899,curriculum-reordered-shuffled-00pct,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,0.909783728115345,0.8195505126220771,4465,4369,435,441,0.9702807451189778,0.9695701666154948
2183,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,0.909783728115345,0.8195493839125039,4466,4368,436,440,0.9701171576003554,0.9694339408385735
2251,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.909783728115345,0.8195455327602943,4472,4362,442,434,0.9705893571840019,0.9702273432921333
2075,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,easiest-interleaved-50pct,0.909783728115345,0.819547369606115,4479,4355,449,427,0.9696213034863934,0.9690823778317949
228,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,hardest-interleaved-25pct,0.9096807415036046,0.8193428770615325,4466,4367,437,440,0.9703455139809095,0.9697783277836287
18,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,baseline,easiest-interleaved-10pct,0.9096807415036046,0.8193394036833749,4474,4359,445,432,0.96952019362856,0.9688329280979506
2325,no-easy-80pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9096807415036046,0.8193547471752675,4488,4345,459,418,0.9701243494261644,0.9697736873668601
1601,easiest-interleaved-25pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9096807415036046,0.8193461368455733,4483,4350,454,423,0.9704614530016942,0.969966713590394
