,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
2246,no-easy-80pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9108135942327498,0.8216057896530865,4481,4363,441,425,0.9702641339106933,0.9697844200832496
184,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9106076210092688,0.821194242515427,4474,4368,436,432,0.9704471966390285,0.9698795172770521
2115,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9104016477857878,0.8207904678161257,4488,4352,452,418,0.9702738715155497,0.9699257107679776
2086,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-hard-95pct,0.9104016477857878,0.8207853493615207,4469,4371,433,437,0.970412807407063,0.9698697762952573
2914,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9104016477857878,0.8207822469002997,4473,4367,437,433,0.9704531367901392,0.9700679518295534
349,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,0.9101956745623069,0.8203757510972339,4466,4372,432,440,0.9705805318166374,0.9700927885528964
350,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,0.9101956745623069,0.8203757510972339,4466,4372,432,440,0.9705805318166374,0.9700927885528964
2084,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9100926879505664,0.8201640209426252,4472,4365,439,434,0.970432728128109,0.9699948169054262
1141,curriculum-reordered-shuffled-00pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.909989701338826,0.8199603844591181,4468,4368,436,438,0.9703221140284986,0.9698522584857465
2471,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.909989701338826,0.8199624994969104,4466,4370,434,440,0.9705701365521936,0.9702135109366196
384,curriculum-reordered-shuffled-20pct,no-easy-80pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.909989701338826,0.8199587030303839,4479,4357,447,427,0.9703792031236369,0.9700248050349912
353,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.909989701338826,0.8199624994969104,4466,4370,434,440,0.9705227850619118,0.9700583807749057
18,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,baseline,easiest-interleaved-10pct,0.9098867147270855,0.8197514086599742,4475,4360,444,431,0.9697009651557524,0.9690512576399458
2199,no-easy-80pct,easiest-interleaved-10pct,no-easy-90pct,easiest-interleaved-50pct,0.9098867147270855,0.8197556891067561,4482,4353,451,424,0.9697569510799704,0.969081063022764
1784,baseline,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,hardest-interleaved-25pct,0.9098867147270855,0.8197584587807335,4464,4371,433,442,0.9702677192161853,0.9696097886727323
878,curriculum-reordered-shuffled-00pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.9098867147270855,0.8197531670906052,4469,4366,438,437,0.9704735030225186,0.9699212891082344
2081,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-90pct,0.9098867147270855,0.8197584587807335,4464,4371,433,442,0.9704990881019452,0.9700122547595142
181,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-25pct,no-easy-90pct,0.9098867147270855,0.8197520243572908,4471,4364,440,435,0.970503585644929,0.9699565087859485
2080,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-95pct,0.9098867147270855,0.8197584587807335,4464,4371,433,442,0.9704990881019452,0.9700122547595142
180,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-25pct,no-easy-95pct,0.9098867147270855,0.8197520243572908,4471,4364,440,435,0.970503585644929,0.9699565087859485
2192,no-easy-80pct,easiest-interleaved-10pct,no-easy-95pct,easiest-interleaved-50pct,0.9098867147270855,0.8197556891067561,4482,4353,451,424,0.9697569510799704,0.969081063022764
2241,no-easy-80pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,0.909783728115345,0.8195458268517697,4471,4363,441,435,0.9704288246002363,0.9699823363014122
2555,curriculum-reordered-shuffled-30pct,easiest-interleaved-50pct,hardest-interleaved-10pct,no-hard-95pct,0.909783728115345,0.819547369606115,4479,4355,449,427,0.9701894365104768,0.969793361650227
2228,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,easiest-interleaved-50pct,0.909783728115345,0.8195493839125039,4466,4368,436,440,0.970478255143407,0.9699580343298471
2235,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,easiest-interleaved-50pct,0.909783728115345,0.8195493839125039,4466,4368,436,440,0.970478255143407,0.9699580343298471
355,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,no-hard-95pct,0.909783728115345,0.8195517804240359,4464,4370,434,442,0.9705116260637537,0.9699623975638697
25,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,baseline,hardest-interleaved-10pct,0.909783728115345,0.8195514804086826,4483,4351,453,423,0.9703026176039604,0.9698999448010668
581,curriculum-reordered-shuffled-20pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.909783728115345,0.8195517804240359,4464,4370,434,442,0.9702629458804712,0.9698146612702092
2185,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.909783728115345,0.8195457475934794,4476,4358,446,430,0.9704952270037234,0.9699383337448702
2183,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,0.909783728115345,0.8195493839125039,4466,4368,436,440,0.970166630573177,0.969492274167588
1697,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.909783728115345,0.8195505126220771,4465,4369,435,441,0.970371756719923,0.9698063894558943
354,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9096807415036046,0.8193405314909855,4469,4364,440,437,0.970675043863773,0.9702985239655645
1368,easiest-interleaved-25pct,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9096807415036046,0.8193396631277238,4471,4362,442,435,0.9703490780715758,0.9697880472567639
2747,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,0.9096807415036046,0.8193410050626472,4478,4355,449,428,0.9705107562559123,0.9700319378457509
228,curriculum-reordered-shuffled-20pct,baseline,no-easy-80pct,hardest-interleaved-25pct,0.9096807415036046,0.8193428770615325,4466,4367,437,440,0.9704358254926168,0.9698643121190536
419,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9096807415036046,0.8193574228418954,4457,4376,428,449,0.9703731144687485,0.9699437248295831
2141,no-easy-80pct,hardest-interleaved-50pct,hardest-interleaved-25pct,no-hard-95pct,0.9096807415036046,0.8193394375621383,4472,4361,443,434,0.9707816695762094,0.970162584360514
1364,easiest-interleaved-25pct,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,0.9095777548918641,0.8191348386388151,4468,4364,440,438,0.970398423755445,0.969791652217519
571,curriculum-reordered-shuffled-20pct,hardest-interleaved-25pct,no-easy-90pct,hardest-interleaved-10pct,0.9095777548918641,0.8191355518722847,4467,4365,439,439,0.9707001622170409,0.97037565824829
1359,easiest-interleaved-25pct,no-easy-80pct,easiest-interleaved-10pct,easiest-interleaved-50pct,0.9095777548918641,0.8191568171804199,4491,4341,463,415,0.9696779046405478,0.9689384691107283
275,curriculum-reordered-shuffled-20pct,baseline,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9095777548918641,0.8191335331594081,4471,4361,443,435,0.9704123618957297,0.9699094637587571
2720,hardest-interleaved-50pct,easiest-interleaved-50pct,hardest-interleaved-10pct,no-hard-95pct,0.9095777548918641,0.8191394538834134,4482,4350,454,424,0.9706164485160315,0.9700748197738907
899,curriculum-reordered-shuffled-00pct,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,0.9095777548918641,0.8191412034476092,4462,4370,434,444,0.9704426990960449,0.9697367590170712
1365,easiest-interleaved-25pct,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,0.9095777548918641,0.8191348386388151,4468,4364,440,438,0.970398423755445,0.969791652217519
2251,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9095777548918641,0.8191348386388151,4468,4364,440,438,0.9705845626334624,0.9701915818423945
564,curriculum-reordered-shuffled-20pct,hardest-interleaved-25pct,no-easy-95pct,hardest-interleaved-10pct,0.9095777548918641,0.8191355518722847,4467,4365,439,439,0.9707001622170409,0.97037565824829
2075,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,easiest-interleaved-50pct,0.9095777548918641,0.8191361702258986,4479,4353,451,427,0.9697217768994654,0.969136701371855
913,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9095777548918641,0.8191342644397901,4469,4363,441,437,0.9705522948840362,0.9700188528852879
1339,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-10pct,0.9095777548918641,0.8191568171804199,4491,4341,463,415,0.9702604849607254,0.9698012949567751
1333,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.9095777548918641,0.8191338292787401,4470,4362,442,436,0.9703649467609713,0.9697929719982259
474,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9095777548918641,0.8191373954294983,4465,4367,437,441,0.9708212988700474,0.970362565725957
979,curriculum-reordered-shuffled-00pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9095777548918641,0.8191444372190814,4460,4372,432,446,0.9704735242373441,0.9700302376848045
2139,no-easy-80pct,hardest-interleaved-50pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9095777548918641,0.8191397950874368,4463,4369,435,443,0.9707010532397076,0.97019743214747
415,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-95pct,0.9095777548918641,0.8191462626265068,4459,4373,431,447,0.9704746274082645,0.9700527173086708
416,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-90pct,0.9095777548918641,0.8191462626265068,4459,4373,431,447,0.9704746274082645,0.9700527173086708
2466,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9094747682801236,0.8189291814717405,4467,4364,440,439,0.9701487464753689,0.9697104264784154
1696,baseline,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,0.9094747682801236,0.8189273483054208,4472,4359,445,434,0.9697233043668936,0.9690580200136037
2626,hardest-interleaved-50pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,0.9094747682801236,0.8189280311866222,4469,4362,442,437,0.9707425070085297,0.9703314124019408
2255,no-easy-80pct,hardest-interleaved-25pct,hardest-interleaved-10pct,no-hard-95pct,0.9094747682801236,0.8189279165787106,4475,4356,448,431,0.9707279536383085,0.9702424336477237
149,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,0.9094747682801236,0.8189276645495105,4470,4361,443,436,0.970325741763641,0.9697701314874962
1895,baseline,easiest-interleaved-10pct,hardest-interleaved-25pct,no-easy-90pct,0.9094747682801236,0.8189393422944143,4459,4372,432,447,0.9702930709325324,0.969613097652203
2252,no-easy-80pct,hardest-interleaved-25pct,easiest-interleaved-50pct,no-hard-95pct,0.9094747682801236,0.8189273483054208,4472,4359,445,434,0.9703948808796039,0.9698813913210176
