,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
1459,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-50pct,hardest-interleaved-25pct,easiest-interleaved-50pct,0.9105046343975283,0.8209891455189022,4472,4369,435,434,0.9708008902080172,0.9703758621076063
7135,no-easy-80pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9105046343975283,0.8209884440822907,4481,4360,444,425,0.9705444666134655,0.9701684845966179
5419,easiest-interleaved-25pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9105046343975283,0.8209942486468157,4487,4354,450,419,0.9704582495630594,0.9699965037634615
229,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-25pct,no-easy-95pct,0.9104016477857878,0.8207822469002997,4473,4367,437,433,0.9704002906600797,0.969857082395793
230,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,no-easy-80pct,hardest-interleaved-25pct,no-easy-90pct,0.9104016477857878,0.8207822469002997,4473,4367,437,433,0.9704002906600797,0.969857082395793
1566,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9102986611740473,0.8205754394852837,4475,4364,440,431,0.97030985185942,0.9698931303811431
5691,baseline,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9102986611740473,0.8205756171269272,4478,4361,443,428,0.970352090576782,0.9697424561658634
1435,curriculum-reordered-shuffled-20pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9102986611740473,0.8205786993886485,4483,4356,448,423,0.9701773016303508,0.9698316485340561
921,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-25pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9101956745623069,0.8203701707031971,4479,4359,445,427,0.9705505764831794,0.9700898802210827
1505,curriculum-reordered-shuffled-20pct,no-easy-80pct,easiest-interleaved-10pct,hardest-interleaved-25pct,hardest-interleaved-10pct,0.9101956745623069,0.8203698219978288,4473,4365,439,433,0.9704699177170268,0.9699273694142082
1786,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9101956745623069,0.8203702512851723,4472,4366,438,434,0.9701087140998481,0.9697030628204886
1280,curriculum-reordered-shuffled-20pct,baseline,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9101956745623069,0.8203715275998089,4470,4368,436,436,0.9702154883160622,0.9697778569547792
3221,curriculum-reordered-shuffled-00pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-90pct,0.9101956745623069,0.8203708198203453,4471,4367,437,435,0.9703728811056691,0.969867602347178
3220,curriculum-reordered-shuffled-00pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-95pct,0.9101956745623069,0.8203708198203453,4471,4367,437,435,0.9703728811056691,0.969867602347178
2234,curriculum-reordered-shuffled-20pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9100926879505664,0.8201645208158022,4471,4366,438,435,0.9705021642516276,0.9701410866588611
