,test_acc,test_mcc,test_tp,test_tn,test_fp,test_fn,test_auroc,test_auprc
curriculum-reordered-shuffled-20pct,0.907415036045314,0.8148161365755192,4451,4360,444,455,0.9685497850853328,0.9678749400949584
curriculum-reordered-shuffled-00pct,0.9066941297631308,0.8133724151341002,4469,4335,469,437,0.9686779438455452,0.9679163554037408
easiest-interleaved-25pct,0.9059732234809474,0.8119497546467535,4475,4322,482,431,0.9681859084001544,0.9670232853925508
baseline,0.9057672502574664,0.8115134294143912,4460,4335,469,446,0.9679616889105525,0.9672286873618908
no-easy-80pct,0.9057672502574664,0.8115163549942505,4463,4332,472,443,0.9683009563982724,0.967632137239214
curriculum-reordered-shuffled-30pct,0.9057672502574664,0.8115117439224642,4457,4338,466,449,0.9683337757331588,0.9677476995515918
hardest-interleaved-50pct,0.9049433573635428,0.8098776936605885,4436,4351,453,470,0.969236975709534,0.967992558812048
easiest-interleaved-10pct,0.9048403707518022,0.8096655744766942,4439,4347,457,467,0.9676568106547982,0.9662367864876744
hardest-interleaved-25pct,0.9048403707518022,0.8098804570046771,4393,4393,411,513,0.9688136550835984,0.9680576631314916
no-easy-95pct,0.9048403707518022,0.8096572691329958,4450,4336,468,456,0.9685855108512984,0.9675941301301184
no-easy-90pct,0.9048403707518022,0.8096572691329958,4450,4336,468,456,0.9685855108512984,0.9675941301301184
curriculum-reordered-shuffled-10pct,0.9043254376931,0.8086828980167625,4476,4305,499,430,0.9683440012789994,0.9678296552244158
curriculum-reordered-shuffled-40pct,0.9042224510813596,0.8084229442242851,4452,4328,476,454,0.9680262668390556,0.9673709609113972
easiest-interleaved-50pct,0.904119464469619,0.8082152761855114,4446,4333,471,460,0.9681323409660314,0.9677044546779496
hardest-interleaved-10pct,0.9029866117404738,0.805957303920348,4452,4316,488,454,0.9675747941398204,0.9670615912849392
no-hard-95pct,0.9023686920700308,0.8047158350511685,4432,4330,474,474,0.96465637668433,0.960163477946378
no-hard-90pct,0.8982492276004119,0.796528085954075,4390,4332,472,516,0.9612051701038644,0.9579314239375408
no-hard-80pct,0.8911431513903193,0.7822589557894316,4384,4269,535,522,0.956359916131855,0.9515077364574837
