,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
4,easiest-interleaved-50pct,no-easy-80pct,0.9212995661386338,0.8426354948563949,4663,4468,426,354,0.9771858842990635,0.9772934184579519
1,curriculum-reordered-shuffled-20pct,no-easy-80pct,0.9205932801937241,0.8411766718847541,4645,4479,415,372,0.9771983266701143,0.9771569325230385
6,easiest-interleaved-50pct,hardest-interleaved-25pct,0.9196851982645545,0.839370964703696,4645,4470,424,372,0.976960801603115,0.9769450826364523
5,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9194834022802946,0.8390100780977438,4656,4457,437,361,0.9770825983645797,0.9770391140933532
0,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,0.9193825042881647,0.8387543949278026,4639,4473,421,378,0.9773044635570487,0.9773078195746678
8,no-easy-80pct,hardest-interleaved-25pct,0.918676218343255,0.8373471252033383,4638,4467,427,379,0.9769618605283109,0.976922923788306
7,no-easy-80pct,hardest-interleaved-10pct,0.9182726263747352,0.8365874070037032,4650,4451,443,367,0.9769453250040993,0.9769189019096101
9,hardest-interleaved-10pct,hardest-interleaved-25pct,0.9181717283826052,0.8363472378587434,4639,4461,433,378,0.9768090087490844,0.9766460070438517
3,curriculum-reordered-shuffled-20pct,hardest-interleaved-25pct,0.9178690344062154,0.8357145890609929,4624,4473,421,393,0.9770630286124032,0.9768586838708704
2,curriculum-reordered-shuffled-20pct,hardest-interleaved-10pct,0.9176672384219554,0.8353285170749704,4633,4462,432,384,0.9770725589391654,0.9768976318230577
