,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
0,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,no-easy-80pct,0.9216022601150237,0.8432169905977743,4658,4476,418,359,0.9764466730566015,0.9762540023005247
6,easiest-interleaved-50pct,no-easy-80pct,hardest-interleaved-10pct,0.920895974170114,0.8418553211041099,4667,4460,434,350,0.9761480765153281,0.9758666057057725
8,easiest-interleaved-50pct,hardest-interleaved-10pct,hardest-interleaved-25pct,0.9203914842094643,0.8407945359920197,4652,4470,424,365,0.9763362597409917,0.9760965225091788
4,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,0.9198869942488145,0.839753978078637,4636,4481,413,381,0.9765465989399833,0.976299489961941
7,easiest-interleaved-50pct,no-easy-80pct,hardest-interleaved-25pct,0.9198869942488145,0.8397746936654799,4646,4471,423,371,0.9764594819786816,0.9762688475381813
1,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9194834022802946,0.8389760981996031,4647,4466,428,370,0.9762496315143957,0.9759613246184776
3,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-10pct,0.9191807083039047,0.8383787988673448,4648,4462,432,369,0.9762942489202426,0.9759901633301605
2,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,hardest-interleaved-25pct,0.9188780143275149,0.8377533795206616,4640,4467,427,377,0.9765016149831073,0.9763629143605529
9,no-easy-80pct,hardest-interleaved-10pct,hardest-interleaved-25pct,0.918474422358995,0.8369786929185955,4648,4455,439,369,0.9763845630210779,0.9759923865000376
5,curriculum-reordered-shuffled-20pct,hardest-interleaved-10pct,hardest-interleaved-25pct,0.9182726263747352,0.8365422037383174,4637,4464,430,380,0.9765739680835058,0.97623225578188
