,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
0,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,no-easy-80pct,0.9223085460599334,0.8446284646426014,4661,4480,414,356,0.977488370354037,0.9775060304530856
6,easiest-interleaved-50pct,no-easy-80pct,hardest-interleaved-10pct,0.9212995661386338,0.8426440847388046,4665,4466,428,352,0.9773263955269696,0.977338307062958
7,easiest-interleaved-50pct,no-easy-80pct,hardest-interleaved-25pct,0.9206941781858541,0.8413954265500401,4652,4473,421,365,0.9773480424016456,0.9773727290833776
4,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,0.9201896882252043,0.8403738106354645,4645,4475,419,372,0.977351748639831,0.9772722596441252
2,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,hardest-interleaved-25pct,0.9197860962566845,0.839571469071238,4645,4471,423,372,0.9774006832022452,0.9773521082629716
3,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-10pct,0.9195843002724245,0.8392014103786634,4654,4460,434,363,0.9772537369673799,0.9771739327906328
1,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9194834022802946,0.8389793260966222,4648,4465,429,369,0.977386224800533,0.9773256181220169
8,easiest-interleaved-50pct,hardest-interleaved-10pct,hardest-interleaved-25pct,0.9191807083039047,0.8383860635649218,4650,4460,434,367,0.9772121741534443,0.9771685756501787
5,curriculum-reordered-shuffled-20pct,hardest-interleaved-10pct,hardest-interleaved-25pct,0.918777116335385,0.8375584417692994,4642,4464,430,375,0.9772535333279193,0.9770769267699624
9,no-easy-80pct,hardest-interleaved-10pct,hardest-interleaved-25pct,0.9183735243668651,0.8367828996137581,4649,4453,441,368,0.9771800194825946,0.977118979442541
