,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
4,34,17,0.909989701338826,0.819957491300767,4476,4360,444,430,0.9700184238029663,0.9695999619378958
0,34,37,0.9098867147270855,0.8197546600635545,4481,4354,450,425,0.9697077751147043,0.9691088924209027
18,37,6,0.9098867147270855,0.8198135582225721,4504,4331,473,402,0.9694398106551375,0.9687559318184525
5,34,35,0.909783728115345,0.8195514804086826,4483,4351,453,423,0.9695583378846205,0.9689627801702994
39,47,62,0.9093717816683831,0.8187560830088705,4494,4336,468,412,0.9696690580583582,0.9690491521524386
62,28,17,0.9091658084449021,0.8183327074723814,4489,4339,465,417,0.9696380631984558,0.9690707647631662
76,17,5,0.9090628218331617,0.8181207474939791,4486,4341,463,420,0.9696067076865217,0.9691641198282295
41,47,31,0.9089598352214212,0.8179491867494725,4497,4329,475,409,0.9698266842110443,0.9691766902578883
26,37,31,0.9089598352214212,0.8179530522919755,4498,4328,476,408,0.9695646811174138,0.9687404049618165
72,28,1,0.9089598352214212,0.8179181770730649,4487,4339,465,419,0.9696959372421339,0.9693461841805034
35,47,17,0.9089598352214212,0.817931944477965,4492,4334,470,414,0.9699312308705921,0.9694703283392585
56,6,43,0.9089598352214212,0.8178988574572847,4465,4361,443,441,0.9694709328039924,0.9687491231340156
36,47,35,0.9089598352214212,0.8179744660134317,4503,4323,481,403,0.9694918294070066,0.9688559130779509
38,47,3,0.9088568486096807,0.8177065745219473,4484,4341,463,422,0.9695300160927179,0.9688211458955114
80,17,31,0.9088568486096807,0.8177274767443352,4492,4333,471,414,0.9698103063658393,0.9692017992801564
19,37,28,0.9087538619979403,0.8175577948990462,4501,4323,481,405,0.9693556726576201,0.968717389977371
13,34,baseline,0.9087538619979403,0.817485838986622,4466,4358,446,440,0.9694995516034504,0.9689572049946017
25,37,27,0.9086508753861998,0.8173065362972252,4488,4335,469,418,0.9689513180855877,0.9680633828828307
3,34,28,0.9086508753861998,0.8172859970940205,4478,4345,459,428,0.9697109997681644,0.9691877847790387
14,34,1,0.9086508753861998,0.817279670236657,4466,4357,447,440,0.9700499914631542,0.9697231452576809
24,37,62,0.9086508753861998,0.8173038576090058,4487,4336,468,419,0.9694091764472668,0.9687962230317387
55,6,31,0.9085478887744594,0.8171018967560837,4488,4334,470,418,0.9695538403416367,0.9688271702808584
63,28,35,0.9085478887744594,0.8171456846996751,4500,4322,482,406,0.9692438280981368,0.9685272443646954
