,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
4,34,17,0.909989701338826,0.819957491300767,4476,4360,444,430,0.9700574590816933,0.9696442030319767
0,34,37,0.9098867147270855,0.8197546600635545,4481,4354,450,425,0.9696634785592791,0.9690845864716415
18,37,6,0.9098867147270855,0.8198135582225721,4504,4331,473,402,0.9695298675889402,0.9688933151281299
5,34,35,0.909783728115345,0.8195514804086826,4483,4351,453,423,0.9695328376644954,0.9689726518799877
39,47,62,0.9093717816683831,0.8187560830088705,4494,4336,468,412,0.9695973095188715,0.968960430188382
62,28,17,0.9091658084449021,0.8183327074723814,4489,4339,465,417,0.9696664062051837,0.9691063061446414
76,17,5,0.9090628218331617,0.8181207474939791,4486,4341,463,420,0.9696705006664849,0.9692608165223429
41,47,31,0.9089598352214212,0.8179491867494725,4497,4329,475,409,0.9698668863051683,0.9692524743789701
26,37,31,0.9089598352214212,0.8179530522919755,4498,4328,476,408,0.9696541228212799,0.9688322070244211
72,28,1,0.9089598352214212,0.8179181770730649,4487,4339,465,419,0.9697979593374592,0.9694852295841548
35,47,17,0.9089598352214212,0.817931944477965,4492,4334,470,414,0.9700121017849985,0.969564434165459
56,6,43,0.9089598352214212,0.8178988574572847,4465,4361,443,441,0.9695025641086567,0.9688227133326978
36,47,35,0.9089598352214212,0.8179744660134317,4503,4323,481,403,0.9694924022072922,0.9688558289504067
38,47,3,0.9088568486096807,0.8177065745219473,4484,4341,463,422,0.9696147056756955,0.9689176273528707
80,17,31,0.9088568486096807,0.8177274767443352,4492,4333,471,414,0.9698228443276479,0.9692333339656556
19,37,28,0.9087538619979403,0.8175577948990462,4501,4323,481,405,0.9693486505504144,0.9687198634426812
13,34,baseline,0.9087538619979403,0.817485838986622,4466,4358,446,440,0.9694868439230387,0.9689554156022308
25,37,27,0.9086508753861998,0.8173065362972252,4488,4335,469,418,0.9689774971801255,0.9680883408849766
3,34,28,0.9086508753861998,0.8172859970940205,4478,4345,459,428,0.9697000529182604,0.9692163091348525
14,34,1,0.9086508753861998,0.817279670236657,4466,4357,447,440,0.970019760336966,0.96968696666417
24,37,62,0.9086508753861998,0.8173038576090058,4487,4336,468,419,0.9694222023500595,0.9688465287904136
55,6,31,0.9085478887744594,0.8171018967560837,4488,4334,470,418,0.9696831659172459,0.9690151426058481
63,28,35,0.9085478887744594,0.8171456846996751,4500,4322,482,406,0.9692460132251525,0.9685552282726466
27,37,43,0.9085478887744594,0.8170770206850597,4475,4347,457,431,0.9695113682611957,0.9688850495652579
135,31,1,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.9699644320723353,0.9694432243693784
7,34,3,0.9085478887744594,0.8170755923264109,4462,4360,444,444,0.9695190055983378,0.9687942326125092
17,37,47,0.9085478887744594,0.8171859921118863,4508,4314,490,398,0.9696615480101682,0.9690724460435285
10,34,31,0.9084449021627189,0.8168678686186421,4470,4351,453,436,0.969939610726623,0.9692614437285907
1,34,47,0.9084449021627189,0.8168715326207686,4475,4346,458,431,0.9699653230950022,0.9694122376847468
