,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
18,34,47,17,0.9108135942327498,0.8216103626021234,4487,4357,447,419,0.9702789630736447,0.9698284125406433
22,34,47,62,0.9107106076210093,0.8214077348659911,4489,4354,450,417,0.9700713547923272,0.9695359834620001
63,34,17,31,0.9101956745623069,0.8203742914190685,4484,4354,450,422,0.9702179492358082,0.9696921778865666
24,34,47,31,0.9101956745623069,0.8203859115133106,4491,4347,457,415,0.9702022078353648,0.9696034251081522
2,34,37,28,0.909989701338826,0.819976080821781,4491,4345,459,415,0.9698787029629135,0.9693583233396965
64,34,17,43,0.909989701338826,0.8199651711842105,4464,4372,432,442,0.9701645090906375,0.9696930356171874
263,47,6,31,0.909989701338826,0.8200096310306404,4502,4334,470,404,0.9699366618658932,0.9693329627886175
9,34,37,31,0.909989701338826,0.8199664031552492,4486,4350,454,420,0.9700282674819496,0.9693731561789001
17,34,47,28,0.9098867147270855,0.8197761971739331,4493,4342,462,413,0.9700822167829296,0.969560864687631
77,34,35,baseline,0.9098867147270855,0.8197524080682557,4478,4357,447,428,0.9696263738296629,0.9690702705601226
575,17,31,43,0.9098867147270855,0.8197647867659471,4488,4347,457,418,0.9700507551968685,0.9694449729699415
137,37,47,28,0.909783728115345,0.819658880084022,4514,4320,484,392,0.9698714899222791,0.969322830474227
29,34,47,57,0.909783728115345,0.8195455327602943,4472,4362,442,434,0.9698568092631056,0.9693120503532748
20,34,47,5,0.909783728115345,0.8195560248091921,4486,4348,456,420,0.9700908087872147,0.9696744916942821
0,34,37,47,0.909783728115345,0.8195715005301899,4493,4341,463,413,0.9700730731931843,0.9695396090041242
367,6,28,31,0.9096807415036046,0.8193726472968397,4495,4338,466,411,0.9698224412459654,0.9691453417721085
578,17,31,1,0.9096807415036046,0.8193641405797786,4492,4341,463,414,0.9701964161880319,0.969787159768745
288,47,17,31,0.9096807415036046,0.8193859389201881,4499,4334,470,407,0.9701663123507961,0.9696254483013116
45,34,28,17,0.9096807415036046,0.8193448322310735,4482,4351,453,424,0.9700834684576278,0.969614711844674
148,37,47,1,0.9096807415036046,0.8194014589138637,4503,4330,474,403,0.9700608110241058,0.9696784934078632
553,17,3,31,0.9095777548918641,0.8191439894711602,4485,4347,457,421,0.9698246688026317,0.969121845360094
75,34,35,43,0.9095777548918641,0.8191342644397901,4469,4363,441,437,0.9698689229284061,0.9692747597862732
55,34,28,1,0.9095777548918641,0.8191394538834134,4482,4350,454,424,0.9701175394672125,0.9697643931774727
144,37,47,31,0.9095777548918641,0.8192018006513878,4504,4328,476,402,0.9699814463623023,0.9693540716604412
38,34,6,31,0.9095777548918641,0.8191382202360135,4481,4351,453,425,0.970010680391697,0.969419842885917
73,34,35,27,0.9094747682801236,0.8189297361333321,4478,4353,451,428,0.9695167143971952,0.968856630295145
85,34,5,43,0.9094747682801236,0.8189289905753276,4477,4354,450,429,0.9700058009818562,0.9695591994725324
361,6,28,17,0.9094747682801236,0.8189471157542785,4489,4342,462,417,0.9698761783986914,0.969322589097531
274,47,28,62,0.9094747682801236,0.8189775231656405,4499,4332,472,407,0.9698969901424042,0.9693055438764754
350,47,43,14,0.9094747682801236,0.8189355497486237,4483,4348,456,423,0.9700101500210621,0.9695191460594569
397,6,5,3,0.9093717816683831,0.8187337411556885,4485,4345,459,421,0.9695062767031007,0.9688223662018534
118,34,31,1,0.9093717816683831,0.8187221275448003,4475,4355,449,431,0.9702598485159636,0.9697907077358334
270,47,28,17,0.9093717816683831,0.8187772382612702,4500,4330,474,406,0.9700631446548993,0.9695619004216046
