,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
18,34,47,17,0.9111225540679712,0.8222303324977474,4490,4357,447,416,0.9703182953599273,0.9698821117161968
22,34,47,62,0.9105046343975283,0.8209957040130965,4488,4353,451,418,0.9700223485456645,0.9694843442797981
63,34,17,31,0.9105046343975283,0.8209942486468157,4487,4354,450,419,0.9702475014875837,0.9697225820910329
24,34,47,31,0.9104016477857878,0.8207979562942159,4492,4348,456,414,0.9702052627702218,0.9696131641739327
288,47,17,31,0.909989701338826,0.8200058842392096,4501,4335,469,405,0.9702271988996803,0.9696996245805816
0,34,37,47,0.909989701338826,0.8199863301934953,4495,4341,463,411,0.9700375807902981,0.9695194522906174
9,34,37,31,0.909989701338826,0.8199680601472241,4487,4349,455,419,0.9700772949434379,0.9694200019717223
20,34,47,5,0.9098867147270855,0.8197611973310082,4486,4349,455,420,0.9701641908682566,0.9697788079393791
64,34,17,43,0.9098867147270855,0.8197584587807335,4464,4371,433,442,0.9702014016719999,0.9697254543993262
137,37,47,28,0.9098867147270855,0.8198677850400597,4515,4320,484,391,0.9699030151528164,0.9693584118948855
38,34,6,31,0.9098867147270855,0.8197581647958839,4484,4351,453,422,0.9700853141474371,0.9695218445669842
2,34,37,28,0.9098867147270855,0.8197712152316261,4491,4344,460,415,0.9698525875128519,0.9693625659891884
77,34,35,baseline,0.909783728115345,0.8195466897931323,4478,4356,448,428,0.9696368751682335,0.9691344583510303
45,34,28,17,0.909783728115345,0.8195514804086826,4483,4351,453,423,0.9701223976622281,0.9696766614346914
17,34,47,28,0.909783728115345,0.8195715005301899,4493,4341,463,413,0.970086480962834,0.969569212551954
263,47,6,31,0.9096807415036046,0.8193934203306239,4501,4332,472,405,0.9700346107147427,0.969480610197594
361,6,28,17,0.9096807415036046,0.8193615834361956,4491,4342,462,415,0.9699552036232886,0.9694516149027904
73,34,35,27,0.9096807415036046,0.8193426404010075,4480,4353,451,426,0.9695338135464637,0.9689073202151602
144,37,47,31,0.9096807415036046,0.8194100547544017,4505,4328,476,401,0.9700216060267755,0.9694027616835585
75,34,35,43,0.9096807415036046,0.8193405314909855,4469,4364,440,437,0.9698844097509448,0.9693068219557899
553,17,3,31,0.9096807415036046,0.8193508855644208,4486,4347,457,420,0.9698927259624998,0.9692126893497459
575,17,31,43,0.9095777548918641,0.8191439894711602,4485,4347,457,421,0.9701397938190521,0.9695140617325122
158,37,6,31,0.9095777548918641,0.8191651097165961,4494,4338,466,412,0.9699844376526832,0.9693568328834976
1,34,37,6,0.9095777548918641,0.8191457795713265,4486,4346,458,420,0.9698920895177378,0.9693830599011733
55,34,28,1,0.9095777548918641,0.8191394538834134,4482,4350,454,424,0.9701340658161954,0.9698041631758603
29,34,47,57,0.9094747682801236,0.8189274369210899,4471,4360,444,435,0.9698745448571359,0.9693438801249781
274,47,28,62,0.9094747682801236,0.8189813294189455,4500,4331,473,406,0.9698870191744683,0.9692844919186948
5,34,37,5,0.9094747682801236,0.818952083985624,4491,4340,464,415,0.9699562855793836,0.9694978662884327
487,28,3,31,0.9094747682801236,0.8189371296800404,4484,4347,457,422,0.9697415491167335,0.9689241283157242
528,28,1,14,0.9094747682801236,0.8189448403259537,4488,4343,461,418,0.9699611649892245,0.9695957530901251
367,6,28,31,0.9094747682801236,0.8189605798941149,4494,4337,467,412,0.9699571341723995,0.9693180339846835
3,34,37,17,0.9094747682801236,0.8189341088952627,4482,4349,455,424,0.9701216339285138,0.969660242845089
145,37,47,43,0.9094747682801236,0.8189605798941149,4494,4337,467,412,0.9699933054496983,0.9694721227561639
148,37,47,1,0.9094747682801236,0.8189893596051554,4502,4329,475,404,0.9701140814506731,0.9697437045864723
350,47,43,14,0.9094747682801236,0.8189355497486237,4483,4348,456,423,0.9701239887741326,0.969623693191998
578,17,31,1,0.9093717816683831,0.8187422799256239,4489,4341,463,417,0.9702810421265333,0.9698670648515334
7,34,37,62,0.9093717816683831,0.818722663318629,4476,4354,450,430,0.9698556000180579,0.9693642929047346
403,6,5,baseline,0.9093717816683831,0.8187422799256239,4489,4341,463,417,0.9697122938725136,0.969184482286685
21,34,47,3,0.9093717816683831,0.8187261965083286,4480,4350,454,426,0.9700218818195057,0.9694250008650328
568,17,27,31,0.9093717816683831,0.8187473838265878,4491,4339,465,415,0.969788115658476,0.9692116814937795
397,6,5,3,0.9093717816683831,0.8187337411556885,4485,4345,459,421,0.9696239765543933,0.9689705437420998
60,34,17,3,0.9092687950566426,0.8185153455315781,4471,4358,446,435,0.9700031279138563,0.9694337617062061
61,34,17,62,0.9092687950566426,0.8185154362800415,4470,4359,445,436,0.9701372056103539,0.9697394124284957
446,6,baseline,1,0.9092687950566426,0.8185177190933909,4477,4352,452,429,0.9698221654532353,0.9694031821616031
70,34,35,5,0.9092687950566426,0.8185250958545565,4483,4346,458,423,0.9698126612114581,0.9693666064703145
297,47,35,62,0.9092687950566426,0.8185548646840093,4495,4334,470,411,0.9697369667144482,0.9691488149830462
285,47,17,3,0.9092687950566426,0.8185327939099665,4487,4342,462,419,0.9700312799871557,0.9694756493745179
286,47,17,62,0.9092687950566426,0.8185327939099665,4487,4342,462,419,0.9701150361178159,0.9696783304238862
118,34,31,1,0.9092687950566426,0.8185163720542206,4475,4354,450,431,0.970287576292755,0.9697983592837759
16,34,47,6,0.9092687950566426,0.8185235188957292,4482,4347,457,424,0.9700623597063596,0.9695834474155954
170,37,28,27,0.9092687950566426,0.818558249445608,4496,4333,471,410,0.9694391105658996,0.9687435094513264
142,37,47,62,0.9092687950566426,0.8185654363473283,4498,4331,473,408,0.9698427862635193,0.969290602090398
140,37,47,5,0.9092687950566426,0.8186046661971396,4507,4322,482,399,0.969936980088274,0.9694976261951767
270,47,28,17,0.9092687950566426,0.8185654363473283,4498,4331,473,408,0.9701492132015277,0.9696667918347284
44,34,6,14,0.9092687950566426,0.8185153455315781,4471,4358,446,435,0.969954588393352,0.9695029935055224
13,34,37,1,0.9092687950566426,0.8185220809449523,4481,4348,456,425,0.9700700394731528,0.9696368489740758
363,6,28,5,0.9091658084449021,0.8183575450475544,4497,4331,473,409,0.9698657619194223,0.9694364863293182
276,47,28,31,0.9091658084449021,0.8183651452766229,4499,4329,475,407,0.9700524523829002,0.9694309738452356
291,47,17,baseline,0.9091658084449021,0.8183217027400507,4484,4344,460,422,0.9699736605213823,0.9695099414240047
266,47,6,baseline,0.9091658084449021,0.8183278885474746,4487,4341,463,419,0.9697834271820636,0.9692436403208646
383,6,17,1,0.9091658084449021,0.8183217027400507,4484,4344,460,422,0.970082344071882,0.969791665922924
138,37,47,17,0.9091658084449021,0.8183651452766229,4499,4329,475,407,0.9700867143259133,0.9696031459222574
277,47,28,43,0.9091658084449021,0.8183380825149744,4491,4337,467,415,0.9700735187045176,0.9694972120126961
10,34,37,43,0.9091658084449021,0.8183101167552012,4474,4354,450,432,0.9699415412757341,0.9694128034044606
316,47,3,62,0.9091658084449021,0.8183217027400507,4484,4344,460,422,0.9697274624726712,0.9690553814093326
19,34,47,35,0.9091658084449021,0.8183217027400507,4484,4344,460,422,0.969946590404178,0.9694087976897547
154,37,6,5,0.9091658084449021,0.8183651452766229,4499,4329,475,407,0.9698603309241212,0.9693786127648336
58,34,17,35,0.9091658084449021,0.8183217027400507,4484,4344,460,422,0.9699630743235101,0.969476408869314
31,34,6,28,0.9091658084449021,0.8183199187950962,4483,4345,459,423,0.9699112040754189,0.9694422718473232
42,34,6,1,0.9091658084449021,0.818312133540907,4477,4351,453,429,0.9700787163367395,0.9697429175603649
67,34,17,1,0.9090628218331617,0.8181043600495422,4474,4353,451,432,0.9703380675771957,0.9700350087757403
544,17,5,31,0.9090628218331617,0.8181395478900318,4493,4334,470,413,0.9700725428225495,0.9696107165925497
481,28,5,baseline,0.9090628218331617,0.8181364450886652,4492,4335,469,414,0.9696770772623574,0.9692194273118013
