,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
149,34,47,17,3,0.9111225540679712,0.8222251064738842,4485,4362,442,421,0.9701713402644148,0.9696395902412251
134,34,47,28,17,0.9109165808444902,0.8218231067729196,4492,4353,451,414,0.9702751231902481,0.9698067113740788
11,34,37,47,baseline,0.9106076210092688,0.8212100010751213,4493,4349,455,413,0.9700206089299819,0.9695083705290262
153,34,47,17,43,0.9104016477857878,0.8207834168707627,4482,4358,446,424,0.9703344186272277,0.9698755153538203
442,34,17,31,1,0.9104016477857878,0.8207863151467535,4485,4355,449,421,0.9703997815042703,0.9699922760395806
25,34,37,6,baseline,0.9104016477857878,0.8207875599844903,4486,4354,450,420,0.9698995783511023,0.9693490705032499
188,34,47,3,14,0.9102986611740473,0.8205809075842561,4485,4354,450,421,0.9700568226369315,0.9694993462752522
190,34,47,62,31,0.9102986611740473,0.8205888667273409,4490,4349,455,416,0.9702336269917751,0.9696584834098457
1118,37,5,1,14,0.9101956745623069,0.8203983921131255,4496,4342,462,410,0.9699791763759852,0.9695506796344765
698,37,47,28,62,0.9101956745623069,0.820429639986445,4505,4333,471,401,0.9699720694094778,0.9694272557730591
147,34,47,17,35,0.9101956745623069,0.820390485630742,4493,4345,459,413,0.9701665457138755,0.9696704495834124
1313,47,6,31,1,0.9101956745623069,0.8203983921131255,4496,4342,462,410,0.9702010410199682,0.9697553257083359
6,34,37,47,62,0.9101956745623069,0.8203838334918006,4490,4348,456,416,0.9701269800645134,0.9696153998615362
1296,47,6,62,31,0.9101956745623069,0.8203983921131255,4496,4342,462,410,0.9700656480042958,0.969484588120413
1258,47,6,17,31,0.9101956745623069,0.8204108856869423,4500,4338,466,406,0.9701692187818752,0.9696524653176807
156,34,47,17,1,0.9100926879505664,0.8201716423073074,4486,4351,453,420,0.9704335979359502,0.9701010537035641
1509,47,35,31,43,0.9100926879505664,0.8202065648129958,4500,4337,467,406,0.970031937646743,0.9693848589536976
1457,47,17,31,1,0.9100926879505664,0.8201909571859408,4495,4342,462,411,0.9703612341665271,0.9699645169084844
398,34,17,35,31,0.9100926879505664,0.8201882537680877,4494,4343,461,412,0.9701228431735613,0.9695479679044648
171,34,47,5,62,0.9100926879505664,0.8201909571859408,4495,4342,462,411,0.9701357630022271,0.9697104949300387
5,34,37,47,3,0.9100926879505664,0.8201909571859408,4495,4342,462,411,0.9700170236244902,0.9694213606947558
773,37,47,43,57,0.9100926879505664,0.820174959300587,4488,4349,455,418,0.9698532239576138,0.969269333352957
120,34,47,6,28,0.909989701338826,0.8199784342044625,4492,4344,460,414,0.9701155028439746,0.9696083365889354
1778,6,17,35,43,0.909989701338826,0.8199698564026023,4488,4348,456,418,0.9699139832175456,0.9693470852069623
1935,6,5,baseline,14,0.909989701338826,0.819964885419735,4485,4351,453,421,0.9697407005237177,0.9692543738143276
158,34,47,17,14,0.909989701338826,0.8199611676857265,4482,4354,450,424,0.9702974411865639,0.9698870216231743
102,34,37,31,1,0.909989701338826,0.8199680601472241,4487,4349,455,419,0.9702599121604397,0.9697616557133998
715,37,47,17,baseline,0.909989701338826,0.8199863301934953,4495,4341,463,411,0.9699885321139844,0.9695138137979811
750,37,47,62,31,0.909989701338826,0.8199954801233956,4498,4338,466,408,0.970065923797026,0.9694683734022197
143,34,47,28,baseline,0.909989701338826,0.8199738667324052,4490,4346,458,416,0.9700399992803931,0.9695312862455909
1821,6,17,31,1,0.9098867147270855,0.8197736365675901,4492,4343,461,414,0.9702062386521899,0.9697856081234095
1312,47,6,31,baseline,0.9098867147270855,0.8197847146995646,4496,4339,465,410,0.9699728755728426,0.9693925612767177
1310,47,6,31,43,0.9098867147270855,0.8197736365675901,4492,4343,461,414,0.9701099021300702,0.9695110096708155
1514,47,35,31,14,0.9098867147270855,0.8198055112423023,4502,4333,471,404,0.9699892746328732,0.9693745322470122
785,37,6,28,17,0.9098867147270855,0.8197878324728184,4497,4338,466,409,0.9699940903982378,0.9694922675982284
167,34,47,35,1,0.9098867147270855,0.8197611973310082,4486,4349,455,420,0.9701935734014291,0.969765754588181
231,34,6,28,31,0.9098867147270855,0.8197736365675901,4492,4343,461,414,0.9700931212031826,0.9695193063379278
348,34,28,5,14,0.9098867147270855,0.8197667903385976,4489,4346,458,417,0.9699977181333805,0.9695874435422798
2156,28,35,27,1,0.9098867147270855,0.8197847146995646,4496,4339,465,410,0.9696870270154679,0.9691542702051789
127,34,47,6,31,0.9098867147270855,0.8197689331579284,4490,4345,459,416,0.9701970738476192,0.9696425230286398
446,34,17,43,baseline,0.9098867147270855,0.8197514382031867,4473,4362,442,433,0.9700839563986119,0.9696072901315533
12,34,37,47,1,0.9098867147270855,0.8197736365675901,4492,4343,461,414,0.9702855396695171,0.9698907309461164
444,34,17,31,14,0.9098867147270855,0.8197537702132144,4480,4355,449,426,0.9702372547269177,0.9697425104123326
1255,47,6,17,3,0.9098867147270855,0.8197647867659471,4488,4347,457,418,0.9699695236304303,0.9694089493605507
14,34,37,47,14,0.9098867147270855,0.8197761971739331,4493,4342,462,413,0.9701593538880666,0.9696685035685334
1755,6,28,31,1,0.9098867147270855,0.8197788970589814,4494,4341,463,412,0.9700920816767383,0.9696067725675067
2,34,37,47,17,0.9098867147270855,0.8197736365675901,4492,4343,461,414,0.9702689921057089,0.9698033779861575
2386,17,35,43,baseline,0.909783728115345,0.8195491466856312,4481,4353,451,425,0.9698075908681888,0.9692529766031617
121,34,47,6,17,0.909783728115345,0.8195481885683944,4480,4354,450,426,0.9702343907254893,0.9697845136628942
441,34,17,31,baseline,0.909783728115345,0.8195457475934794,4476,4358,446,430,0.9701391361594649,0.9696275427205887
2037,6,31,1,14,0.909783728115345,0.8195578179869644,4487,4347,457,419,0.9700839139689611,0.9696001821259475
152,34,47,17,31,0.909783728115345,0.8195578179869644,4487,4347,457,419,0.9703578610092893,0.9698458939389543
