,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
149,34,47,17,3,0.9111225540679712,0.8222251064738842,4485,4362,442,421,0.9702482440064724,0.9697298419202574
134,34,47,28,17,0.9109165808444902,0.8218231067729196,4492,4353,451,414,0.9703274601644981,0.9698734876388624
11,34,37,47,baseline,0.9107106076210093,0.8214171188218777,4494,4349,455,412,0.970015941668395,0.9695218411826233
1514,47,35,31,14,0.9104016477857878,0.8208338087431075,4504,4336,468,402,0.9700687665836291,0.9694336527081976
1258,47,6,17,31,0.9104016477857878,0.820822962578474,4501,4339,465,405,0.9702630943842491,0.969790124294638
2,34,37,47,17,0.9102986611740473,0.8206003103622422,4495,4344,460,411,0.9702896977752946,0.9698366065286713
153,34,47,17,43,0.9102986611740473,0.820577048524606,4481,4358,446,425,0.9703852705636999,0.9699153749870231
6,34,37,47,62,0.9102986611740473,0.8205908766652577,4491,4348,456,415,0.9700752583202,0.9695769752135954
156,34,47,17,1,0.9102986611740473,0.820583673160202,4487,4352,452,419,0.9704897111491206,0.9701661575153164
773,37,47,43,57,0.9102986611740473,0.820583673160202,4487,4352,452,419,0.969892853251452,0.9693079543834149
25,34,37,6,baseline,0.9102986611740473,0.820583673160202,4487,4352,452,419,0.9699358344877027,0.9694221125367187
190,34,47,62,31,0.9102986611740473,0.8205888667273409,4490,4349,455,416,0.9702185220360938,0.9696628112038777
147,34,47,17,35,0.9101956745623069,0.8203881288903576,4492,4346,458,414,0.970185087471271,0.9696954684845625
1118,37,5,1,14,0.9101956745623069,0.8203983921131255,4496,4342,462,410,0.970107632143753,0.9696845918658702
446,34,17,43,baseline,0.9101956745623069,0.8203693696613591,4476,4362,442,430,0.9701392846632426,0.9696592542612512
442,34,17,31,1,0.9101956745623069,0.8203731886858217,4483,4355,449,423,0.9704585677854404,0.9700390216345489
231,34,6,28,31,0.9101956745623069,0.820390485630742,4493,4345,459,413,0.9701603721996854,0.9696154826329637
715,37,47,17,baseline,0.9101956745623069,0.8203983921131255,4496,4342,462,410,0.9700608322389311,0.9696001356752016
1509,47,35,31,43,0.9101956745623069,0.8204108856869423,4500,4338,466,406,0.9701069532693403,0.9694390789872879
127,34,47,6,31,0.9100926879505664,0.8201809795739158,4491,4346,458,415,0.9702456770125997,0.9697265226741857
1457,47,17,31,1,0.9100926879505664,0.8201909571859408,4495,4342,462,411,0.9704546642575677,0.970073608755877
1313,47,6,31,1,0.9100926879505664,0.8201909571859408,4495,4342,462,411,0.9703087699033248,0.9699033949536648
1821,6,17,31,1,0.9100926879505664,0.8201832649702999,4492,4345,459,414,0.9703096397111662,0.9699240864231148
1241,47,6,28,35,0.9100926879505664,0.8202387865336878,4508,4329,475,398,0.9699262666014494,0.9693813276317397
148,34,47,17,5,0.9100926879505664,0.8201809795739158,4491,4346,458,415,0.9703562698973848,0.9699819356319817
698,37,47,28,62,0.9100926879505664,0.8202256575312804,4505,4332,472,401,0.9699679113037003,0.969421766746579
102,34,37,31,1,0.9100926879505664,0.820174959300587,4488,4349,455,418,0.9702925193470722,0.9697704909543061
14,34,37,47,14,0.9100926879505664,0.8201882537680877,4494,4343,461,412,0.9701788290977792,0.969686277384594
316,34,28,17,35,0.9100926879505664,0.820173231156492,4487,4350,454,419,0.9700416116071232,0.9695384815103971
5,34,37,47,3,0.9100926879505664,0.8201909571859408,4495,4342,462,411,0.970043860378615,0.9694551548147663
188,34,47,3,14,0.9100926879505664,0.8201701927461945,4485,4352,452,421,0.9701382451367984,0.9695744838599645
1935,6,5,baseline,14,0.909989701338826,0.8199664031552492,4486,4350,454,420,0.969906324665578,0.9694329990166037
