,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
5208,47,35,31,2,14,0.9108135942327498,0.8216405678670395,4501,4343,461,405,0.9700166205428076,0.9693453941365033
5204,47,35,31,43,14,0.9108135942327498,0.8216317922891951,4498,4346,458,408,0.97010773821788,0.9695027914063387
4364,47,6,35,62,31,0.9108135942327498,0.8216291463045354,4497,4347,457,409,0.970034143988584,0.9694401784270446
616,34,47,6,62,31,0.9107106076210093,0.8214149629919177,4493,4350,454,413,0.9702271988996802,0.9696869706611827
899,34,47,3,62,baseline,0.9107106076210093,0.821404957819711,4487,4356,448,419,0.9699946631985236,0.9694314720557251
0,34,37,47,6,28,0.9107106076210093,0.8214361170556049,4501,4342,462,405,0.9701482373195595,0.9696437927126168
36,34,37,47,17,1,0.9107106076210093,0.8214218490931678,4496,4347,457,410,0.9703886225061124,0.9700172824837088
1208,34,6,35,baseline,1,0.9106076210092688,0.8211947427421389,4482,4360,444,424,0.9700093438576971,0.9695582319371648
660,34,47,28,17,1,0.9106076210092688,0.8212100010751213,4493,4349,455,413,0.9704127013329359,0.9700524421339362
761,34,47,17,62,43,0.9106076210092688,0.8211935096134111,4479,4363,441,427,0.9703362006725609,0.9698752690491742
73,34,37,47,62,baseline,0.9106076210092688,0.8212100010751213,4493,4349,455,413,0.9700781647512791,0.9695758470241085
4381,47,6,35,31,1,0.9105046343975283,0.8210240459099083,4500,4341,463,406,0.9701413000716552,0.9696438058669834
779,34,47,17,31,14,0.9105046343975283,0.8210009067080378,4491,4350,454,415,0.9703632920045905,0.9698826814449584
26,34,37,47,28,14,0.9105046343975283,0.8210179274207171,4498,4343,461,408,0.9701713826940657,0.9696874883639839
4330,47,6,17,43,baseline,0.9105046343975283,0.8209957040130965,4488,4353,451,418,0.970093460640389,0.9695995773676894
207,34,37,28,17,14,0.9105046343975283,0.8210073644476474,4494,4347,457,412,0.9701697491525101,0.9697110196760035
732,34,47,17,35,27,0.9105046343975283,0.8210029198285876,4492,4349,455,414,0.9700343985664888,0.9695069898063569
756,34,47,17,3,1,0.9105046343975283,0.8209929327019836,4486,4355,449,420,0.9703278844610058,0.9699121553361789
789,34,47,17,baseline,1,0.9105046343975283,0.8209890630119255,4482,4359,445,424,0.9703266752159585,0.9699717783604622
815,34,47,35,62,31,0.9104016477857878,0.8208025370570216,4494,4346,458,412,0.9701605843479393,0.9695772344853401
105,34,37,6,28,17,0.9104016477857878,0.8208001769589341,4493,4347,457,413,0.9701665032842247,0.9697011126456716
829,34,47,35,31,43,0.9104016477857878,0.8207889442054392,4487,4353,451,419,0.9702151276640304,0.9696193762461092
87,34,37,47,31,1,0.9104016477857878,0.8208164293361341,4499,4341,463,407,0.9703731568983994,0.9699111878231481
93,34,37,47,43,57,0.9104016477857878,0.8207834168707627,4482,4358,446,424,0.9700676421978831,0.9695316895771214
633,34,47,6,31,1,0.9104016477857878,0.8207979562942159,4492,4348,456,414,0.9703647982571935,0.9699244745881654
832,34,47,35,31,1,0.9104016477857878,0.8207939332338782,4490,4350,454,416,0.9702951499854211,0.9698021118272949
730,34,47,17,35,3,0.9104016477857878,0.8207958750550612,4491,4349,455,415,0.9701201276759108,0.9695604875097928
777,34,47,17,31,1,0.9104016477857878,0.8207958750550612,4491,4349,455,415,0.9704910901127712,0.9700876236019104
