,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
564,34,47,6,28,62,0.9110195674562307,0.8220466397916464,4500,4346,458,406,0.9701778956454619,0.9697135743892269
616,34,47,6,62,31,0.9108135942327498,0.8216199581815828,4493,4351,453,413,0.970271092373423,0.9697648952818138
0,34,37,47,6,28,0.9107106076210093,0.821439389395157,4502,4341,463,404,0.9701863391459692,0.9697176155938441
899,34,47,3,62,baseline,0.9107106076210093,0.821404957819711,4487,4356,448,419,0.9700330408176634,0.9695180205294291
733,34,47,17,35,31,0.9107106076210093,0.8214194141863213,4495,4348,456,411,0.9702919041171357,0.9697518948726174
829,34,47,35,31,43,0.9106076210092688,0.8212009735982915,4488,4354,450,418,0.9702563904994242,0.9696472642844913
4381,47,6,35,31,1,0.9106076210092688,0.8212254375041573,4499,4343,461,407,0.970211775721618,0.9697436481294877
761,34,47,17,62,43,0.9106076210092688,0.8211935096134111,4479,4363,441,427,0.9703776332265577,0.9699202376368229
73,34,37,47,62,baseline,0.9105046343975283,0.8209990330367534,4490,4351,453,416,0.9700770191507078,0.9696019637477857
87,34,37,47,31,1,0.9105046343975283,0.8210209169077392,4499,4342,462,407,0.9704023909277938,0.9699347992879979
633,34,47,6,31,1,0.9105046343975283,0.8210029198285876,4492,4349,455,414,0.9704138045038564,0.9699929735812808
660,34,47,28,17,1,0.9105046343975283,0.8210029198285876,4492,4349,455,414,0.9704673082935033,0.9701135226357838
569,34,47,6,28,baseline,0.9105046343975283,0.8210097959617735,4495,4346,458,411,0.970135805431878,0.9696350904114848
4364,47,6,35,62,31,0.9105046343975283,0.8210073644476474,4494,4347,457,412,0.9700967701531507,0.969546746829511
560,34,47,6,28,17,0.9105046343975283,0.8210150774398595,4497,4344,460,409,0.9703314061220215,0.9699047243140985
1015,34,6,28,17,35,0.9105046343975283,0.8210050724058905,4493,4348,456,413,0.9701150997622922,0.9696456164180878
1274,34,6,3,31,43,0.9105046343975283,0.820987964538779,4480,4361,443,426,0.9701471341486388,0.9694712633786766
575,34,47,6,17,3,0.9105046343975283,0.8209972988074598,4489,4352,452,417,0.9702536537869481,0.9697759442321865
5223,47,35,43,1,14,0.9105046343975283,0.8210009067080378,4491,4350,454,415,0.9702367031414575,0.9697740844243256
756,34,47,17,3,1,0.9104016477857878,0.8207889442054392,4487,4353,451,419,0.9704001633711274,0.9699964370605143
789,34,47,17,baseline,1,0.9104016477857878,0.8207827295048873,4481,4359,445,425,0.9703883254985568,0.9700439674414657
103,34,37,47,1,14,0.9104016477857878,0.8208025370570216,4494,4346,458,412,0.9703417801716399,0.969934315280214
730,34,47,17,35,3,0.9104016477857878,0.8207958750550612,4491,4349,455,415,0.9701593538880666,0.9696142502616653
93,34,37,47,43,57,0.9104016477857878,0.8207827295048873,4481,4359,445,425,0.9700811136120089,0.9695580329830157
656,34,47,28,17,31,0.9104016477857878,0.820805036596497,4495,4345,459,411,0.9704033243801112,0.969896006550004
1208,34,6,35,baseline,1,0.9104016477857878,0.8207827295048873,4481,4359,445,425,0.9700300283124574,0.9696153676795571
5208,47,35,31,2,14,0.9104016477857878,0.8208164293361341,4499,4341,463,407,0.9700965580048967,0.9694176000116662
4442,47,6,5,1,14,0.9104016477857878,0.8208001769589341,4493,4347,457,413,0.9703025963891349,0.9699628950373697
779,34,47,17,31,14,0.9104016477857878,0.8207958750550612,4491,4349,455,415,0.9704672658638523,0.9699841475480784
582,34,47,6,17,1,0.9104016477857878,0.8207921308232881,4489,4351,453,417,0.9704482785951237,0.9701332848619655
4425,47,6,5,31,baseline,0.9104016477857878,0.8208300538350373,4503,4337,467,403,0.9701661426321928,0.9697140716116689
4326,47,6,17,31,1,0.9104016477857878,0.820807675585593,4496,4344,460,410,0.9704277850737919,0.9700587391966697
896,34,47,3,62,31,0.9102986611740473,0.8205852649819759,4488,4351,453,418,0.9701797201204461,0.9695720681311263
986,34,47,31,2,1,0.9102986611740473,0.8205869961686703,4489,4350,454,417,0.9703908924924297,0.9698659402288405
4323,47,6,17,31,43,0.9102986611740473,0.8205953147089736,4493,4346,458,413,0.9703727538167168,0.9698719932139025
777,34,47,17,31,1,0.9102986611740473,0.8205888667273409,4490,4349,455,416,0.9705468638887352,0.9701447727908732
5406,47,3,31,43,1,0.9102986611740473,0.8205888667273409,4490,4349,455,416,0.9703067120652616,0.9697660730831738
81,34,37,47,27,1,0.9102986611740473,0.820597742830379,4494,4345,459,412,0.9701625785415264,0.9697083927655392
848,34,47,35,1,14,0.9102986611740473,0.8205908766652577,4491,4348,456,415,0.9702609729017095,0.9698288282181757
832,34,47,35,31,1,0.9102986611740473,0.8205908766652577,4491,4348,456,415,0.9703057786129442,0.9698100695623442
36,34,37,47,17,1,0.9102986611740473,0.8205953147089736,4493,4346,458,413,0.9704314976682361,0.9700714479563358
105,34,37,6,28,17,0.9102986611740473,0.8205930259899031,4492,4347,457,414,0.9702213436078713,0.9697966205018913
2802,37,47,31,43,1,0.9102986611740473,0.8206030173129002,4496,4343,461,410,0.9703763391222087,0.9698947132255673
5202,47,35,31,43,1,0.9102986611740473,0.820597742830379,4494,4345,459,412,0.9702783478437083,0.9697470729722804
815,34,47,35,62,31,0.9101956745623069,0.820395617233792,4495,4343,461,411,0.9701630452676853,0.9695964032274185
5037,47,17,31,43,1,0.9101956745623069,0.8203818948182402,4489,4349,455,417,0.9705043705934685,0.9700693146010965
1396,34,28,17,5,baseline,0.9101956745623069,0.8203784354856875,4487,4351,453,419,0.9701663335656214,0.9697617908990441
4283,47,6,17,35,43,0.9101956745623069,0.8203929817424777,4494,4344,460,412,0.9701776410675572,0.9696770697355587
3363,37,28,5,1,14,0.9101956745623069,0.8204075531668529,4499,4339,465,407,0.9701838570113979,0.9697962822228002
4246,47,6,28,62,baseline,0.9101956745623069,0.8203983921131255,4496,4342,462,410,0.9700452817719165,0.9695464501640856
1276,34,6,3,31,baseline,0.9101956745623069,0.8203731886858217,4483,4355,449,423,0.9700394264801074,0.9694055151783707
776,34,47,17,31,baseline,0.9101956745623069,0.8203742914190685,4484,4354,450,422,0.9703362855318625,0.9698462223288248
