,test_acc,test_mcc,test_tp,test_tn,test_fp,test_fn,test_auroc,test_auprc
34,0.9077239958805355,0.8154319270580453,4454,4360,444,452,0.9691835992088397,0.9686378961031006
37,0.9074150360453141,0.8148604203021622,4490,4321,483,416,0.9685384563685717,0.9675936764639037
47,0.9072090628218331,0.8144738046104446,4495,4314,490,411,0.9690905721994817,0.96846912443385
6,0.9071060762100926,0.8142297323139667,4485,4323,481,421,0.9683771388362665,0.9674222652840712
28,0.9070030895983522,0.8140362384788056,4488,4319,485,418,0.9685214845082557,0.9677254206585842
17,0.9069001029866117,0.8137773997375467,4461,4345,459,445,0.9689657017372055,0.9684405609382124
35,0.9065911431513903,0.8132284349617228,4490,4313,491,416,0.9681874995120592,0.9673087895314013
5,0.9065911431513903,0.813224132985779,4489,4314,490,417,0.9684625497233078,0.9677687219167205
3,0.9062821833161689,0.812541539545229,4455,4345,459,451,0.968144178838602,0.9666387631712462
62,0.9060762100926879,0.8121411265054819,4469,4329,475,437,0.9685302250163186,0.9677287657387046
27,0.9059732234809474,0.8119247442908947,4460,4337,467,446,0.967727774245745,0.9666046380819739
31,0.905870236869207,0.8117927458381501,4488,4308,496,418,0.9687057564816384,0.9676252140044671
43,0.905870236869207,0.811730624732535,4441,4355,449,465,0.9687224737640496,0.9678527530587807
2,0.905870236869207,0.8117198400609743,4461,4335,469,445,0.968294698024781,0.9671362867076484
baseline,0.9057672502574665,0.8115134294143912,4460,4335,469,446,0.9679616889105525,0.9672286873618909
1,0.9049433573635427,0.8098740375985087,4463,4324,480,443,0.969026333708185,0.9687294869525137
57,0.9048403707518022,0.8096671540169811,4438,4348,456,468,0.9676861719731452,0.9668613560961984
14,0.9045314109165808,0.8090406428796576,4453,4330,474,453,0.9685169021059703,0.9679509098834175
